"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"40000",3544777,8002592517,"24067MB","2015-09-28",14,"MITSU",17630,25390,27790,"0102P","52","WH",9,"E 32nd St",NA,"52 E 32nd St New York, NY",40.7459032,-73.9826868
"40001",3882057,7491408801,"GLD1899","2015-11-10",21,"ACURA",74230,73690,67030,"1007A","300","GY",11,"Rutland Rd",NA,"300 Rutland Rd New York, NY",40.6593707,-73.9507859
"40002",7190717,8264500912,"19009MA","2016-02-05",78,"FORD",19290,57790,8440,"0025A","3312","WHITE",2,"100th St",NA,"3312 100th St New York, NY",40.756858,-73.868692
"40003",7625865,1403275166,"11914MC","2016-02-08",71,"FORD",36610,10410,15060,"0025A","30","WHITE",2,"W 142 ST",NA,"30 W 142 ST New York, NY",40.8174135,-73.9352795
"40004",232259,7685939277,"GAL5799","2015-06-27",21,"TOYOT",64730,10230,10280,"0710A","7303","GREY",6,"New Utrecht Ave",NA,"7303 New Utrecht Ave New York, NY",40.6171063,-73.9993576
"40005",6917283,7055083450,"63099JM","2016-01-27",69,"GMC",34350,10610,10810,"0121P","233","BROWN",1,"W 29th St",NA,"233 W 29th St New York, NY",40.7486045,-73.9942623
"40006",9943664,8049242249,"63527JM","2016-05-13",14,"GMC",28870,27100,45440,"1105A","20","BROWN",5,"Pine St",NA,"20 Pine St New York, NY",40.7077299,-74.0097298
"40007",9369264,7652369514,"GCD5185","2016-05-26",20,"TOYOT",67730,54050,14480,"0134P","1800","GY",5,"Ocean Pky",NA,"1800 Ocean Pky New York, NY",40.6052037,-73.9674172
"40008",4682021,8040314525,"30194JT","2015-11-05",21,"TOYOT",14510,35590,35610,"1246P","315","WH",11,"Central Park West",NA,"315 Central Park West New York, NY",40.7887903,-73.9671931
"40009",10110408,1410456523,"CTZ6985","2016-05-25",21,"DODGE",38210,44430,41030,"1130A","759","RED",5,"E 105 ST",NA,"759 E 105 ST New York, NY",40.7879741,-73.9381799
"40010",10140125,4620242962,"FXZ5132","2016-05-20",36,"HONDA",0,0,0,"0126P","","BL",5,"EB FLATLANDS AVE "," E96TH ST"," EB FLATLANDS AVE @ E New York, NY",40.656767,-73.8767869
"40011",6471317,4616125314,"GTR2727","2016-02-09",36,"NISSA",0,0,0,"1247P","","GY",2,"WB LINDEN BLVD "," SCHENCK AVE"," WB LINDEN BLVD @ SCH New York, NY",40.7127837,-74.0059413
"40012",10025283,8281015287,"98397JX","2016-05-05",51,"WORKH",32390,13610,32615,"1236P","9","BROWN",5,"Thames St",NA,"9 Thames St New York, NY",40.7089738,-74.0117984
"40013",4733433,8048473872,"16TMC","2015-11-06",21,"CHEVR",35480,19630,29630,"1139A","321","BLACK",11,"Marlborough Rd",NA,"321 Marlborough Rd New York, NY",40.642214,-73.9643509
"40014",5726357,4615663766,"GMJ9184","2016-01-22",36,"HONDA",0,0,0,"0810A","","BK",1,"SB SPRINGFIELD BLVD"," HOLLIS AVE"," SB SPRINGFIELD BLVD New York, NY",40.7073529,-73.7390612
